purchase_group,buy_timing,category,item,quantity,minimum_spec,reference_example,planning_cost_usd,notes
eight-winch-core,now,motion,24 V encoder gearmotor,8,"37D; 10:1; approximately 1000 RPM; quadrature encoder",Pololu 4699,488,"One independent motor per cable; buy as a matched set"
eight-winch-core,now,control,dual closed-loop DC motor controller,4,"2 channels each; quadrature feedback; current limiting; packet serial",RoboClaw 2x15A V6,400,"Eight independently controlled channels total"
eight-winch-core,now,control,real-time coordinator,1,"multiple hardware serial ports; watchdog; 3.3 V logic",Teensy 4.1 class,35,"Coordinates eight synchronized cable targets and safety state"
eight-winch-core,now,power,enclosed 24 V DC adapter,1,"listed enclosed adapter; 24 V; approximately 11.7 A; 280 W",Mean Well GST280A24 class,120,"No exposed mains terminals"
eight-winch-core,now,power,regenerative voltage clamp,1,"compatible with 24 V supply and motor-controller regeneration",Basicmicro VClamp class,55,"Required when braking into a switching power adapter"
eight-winch-core,now,safety,latching emergency stop and DC contactor,1 set,"hardware motor-power interruption; at least 15 A DC-rated contacts",supplier-specific,65,"Also opens all motor-enable circuits"
eight-winch-core,now,power,fused DC distribution and inlet,1 set,"finger-safe; strain relief; main plus eight branch circuits",supplier-specific,50,"Begin with conservative current limits and branch fuses"
eight-winch-core,now,safety,normally closed home switches,8,"repeatable lever or roller switch; NC wiring",supplier-specific,32,"One drum reference per winch"
eight-winch-core,now,safety,normally closed guard interlocks,2,"positive actuation; series hardware motor-enable interruption",supplier-specific,30,"Closing guards must not restart motion"
eight-winch-core,now,mechanical,37D motor brackets,8,"rigid metal bracket",supplier-specific,160,"Do not use printed primary motor mounts"
eight-winch-core,now,electrical,commissioning wiring and controller enclosure,1 set,"ferrules; crimp terminals; guarded ventilation; labels",supplier-specific,80,"Keep conductors controllers and heatsinks inaccessible"
eight-winch-core,now,mechanical,single-layer drums,8,"20 mm working radius; single layer; clamped 6 mm hub",custom machined or PETG prototype,160,"Measure and match effective radius; no random multilayer winding"
eight-winch-core,now,mechanical,captive anchor pulleys,8,"ball bearing; closed line path; at least 100 N rating",supplier-specific,96,"Four upper and four lower modeled anchors"
eight-winch-core,now,mechanical,low-stretch line,50 m,"0.6-0.8 mm; high visibility; UHMWPE class",supplier-specific,30,"Cut only after measuring final routing; use documented terminations"
eight-winch-core,now,sensing,5 kg bar load cells,8,"full-bridge; mounting data available",SparkFun TAL220B class,128,"One tension-sensing idler per cable"
eight-winch-core,now,sensing,HX711 interfaces,8,"10/80 samples per second",SparkFun HX711 class,40,"Measurement only; not sole safety channel"
eight-winch-core,now,safety,digital spring scale,1,"0-50 N range; tare function",supplier-specific,25,"Independent force reference for every channel"
eight-winch-core,now,safety,local clear drum guards,1 set,"impact-resistant polycarbonate",supplier-specific,30,"Cover every shaft drum coupler and nip point during commissioning"
eight-winch-core,now,sensing,two USB cameras and rigid mounts,2,"manual focus/exposure preferred; 1080p",supplier-specific,60,"Two-view translation and orientation ground truth"
spatial-frame,after_table_measurement,structure,18 mm plywood or torsion-box base,1,"flat; approximately 1.2x1.0 m",local supplier,70,"Final size depends on table measurement"
spatial-frame,after_table_measurement,structure,aluminum extrusion 3D frame,1 set,"rigid four-column frame; bolted and gusseted; surveyed anchors",2040 class,350,"Approximate finished frame 1.1x0.9x1.0 m"
spatial-frame,after_table_measurement,structure,table clamps and non-marking isolation layer,1 set,"four-point or greater clamping; compatible with table",supplier-specific,30,"Do not attach winches directly to furniture"
spatial-frame,after_table_measurement,structure,winch plates pulley brackets gussets and fasteners,1 set,"metal primary load path; locking hardware",supplier-specific,150,"Route all non-workspace cable along frame"
spatial-frame,after_table_measurement,mechanical,3D carrier and eight attachment fittings,1 set,"150-250 g; 120x100x60 mm target; soft exterior",supplier-specific,75,"Four upper and four lower distinct attachment points"
spatial-frame,after_table_measurement,safety,full polycarbonate enclosure and service lid,1 set,"impact-resistant; contains carrier line and terminations",supplier-specific,300,"All high-speed modes interlocked to guards"
spatial-frame,after_table_measurement,electrical,final wiring looms labels and enclosure additions,1 set,"strain relief; guarded cable paths; service loops",supplier-specific,100,"Separate motor encoder load-cell camera and logic wiring"
